OBS,DX_CD,DX_DSC
559,C50121,Malignant neoplasm of central portion of right male breast
560,C50122,Malignant neoplasm of central portion of left male breast
561,C50122,Malignant neoplasm of central portion of left male breast
562,C50129,Malignant neoplasm of central portion of unspecified male breast
563,C50129,Malignant neoplasm of central portion of unspecified male breast
564,C50211,Malignant neoplasm of upper-inner quadrant of right female breast
565,C50211,Malignant neoplasm of upper-inner quadrant of right female breast
566,C50212,Malignant neoplasm of upper-inner quadrant of left female breast
567,C50212,Malignant neoplasm of upper-inner quadrant of left female breast
568,C50219,Malignant neoplasm of upper-inner quadrant of unspecified female breast
569,C50219,Malignant neoplasm of upper-inner quadrant of unspecified female breast
570,C50221,Malignant neoplasm of upper-inner quadrant of right male breast
571,C50221,Malignant neoplasm of upper-inner quadrant of right male breast
572,C50222,Malignant neoplasm of upper-inner quadrant of left male breast
573,C50222,Malignant neoplasm of upper-inner quadrant of left male breast
574,C50229,Malignant neoplasm of upper-inner quadrant of unspecified male breast
575,C50229,Malignant neoplasm of upper-inner quadrant of unspecified male breast
576,C50311,Malignant neoplasm of lower-inner quadrant of right female breast
577,C50311,Malignant neoplasm of lower-inner quadrant of right female breast
578,C50312,Malignant neoplasm of lower-inner quadrant of left female breast
